cuadrante;grupoFuncional;puntosDe25;abundancia_relativa;cobertura;altura
Cuadrante 1;Cirripedio;3;0,12;12;Alto
Cuadrante 1;Piedra;22;0,88;88;Alto
Cuadrante 2;Piedra;25;1;100;Alto
Cuadrante 3;Cirripedio;6;0,24;24;Alto
Cuadrante 3;Alga efimera;6;0,24;24;Alto
Cuadrante 3;Piedra;25;1;100;Alto
Cuadrante 4;Cirripedio;7;0,28;28;Alto
Cuadrante 4;Piedra;18;0,72;72;Alto
Cuadrante 5;Cirripedio;1;0,04;4;Alto
Cuadrante 5;Piedra;24;0,96;96;Alto
Cuadrante 6;Piedra;25;1;100;Alto
Cuadrante 7;Alga corticada;2;0,08;8;Alto
Cuadrante 7;Herviboro;1;0,04;4;Alto
Cuadrante 7;Piedra;22;0,88;88;Alto
Cuadrante 8;Alga efimera;1;0,04;4;Alto
Cuadrante 8;Herviboro;0;0;0;Alto
Cuadrante 8;Alga corticada;3;0,12;12;Alto
Cuadrante 8;Piedra;21;0,84;84;Alto
Cuadrante 9;Cirripedio;0;0;0;Alto
Cuadrante 9;Piedra;25;1;100;Alto
Cuadrante 10;Alga corticada;6;0,24;24;Alto
Cuadrante 10;Alga efimera;2;0,08;8;Alto
Cuadrante 10;No identificado;1;0,04;4;Alto
Cuadrante 10;Herviboro;0;0;0;Alto
Cuadrante 10;Piedra;16;0,64;64;Alto
Cuadrante 11;Alga corticada;18;0,72;72;Alto
Cuadrante 11;Piedra;7;0,28;28;Alto
Cuadrante 12;Cirripedio;1;0,04;4;Alto
Cuadrante 12;Piedra;24;0,96;96;Alto
Cuadrante 13;Cirripedio;11;0,44;44;Medio
Cuadrante 13;Piedra;14;0,56;56;Medio
Cuadrante 14;Alga efimera;1;0,04;4;Medio
Cuadrante 14;Cirripedio;17;0,68;68;Medio
Cuadrante 14;Piedra;7;0,28;28;Medio
Cuadrante 15;Cirripedio;14;0,56;56;Medio
Cuadrante 15;Mitilidos;3;0,12;12;Medio
Cuadrante 15;Herviboro;0;0;0;Medio
Cuadrante 15;Alga efimera;2;0,08;8;Medio
Cuadrante 15;Piedra;6;0,24;24;Medio
Cuadrante 16;Cirripedio;19;0,76;76;Medio
Cuadrante 16;Herviboro;0;0;0;Medio
Cuadrante 16;Alga efimera;1;0,04;4;Medio
Cuadrante 16;Piedra;5;0,2;20;Medio
Cuadrante 17;Cirripedio;11;0,44;44;Medio
Cuadrante 17;Mitilidos;4;0,16;16;Medio
Cuadrante 17;Alga efimera;7;0,28;28;Medio
Cuadrante 17;Piedra;3;0,12;12;Medio
Cuadrante 18;Cirripedio;18;0,72;72;Medio
Cuadrante 18;Alga efimera;5;0,2;20;Medio
Cuadrante 18;Piedra;2;0,08;8;Medio
Cuadrante 19;Cirripedio;18;0,72;72;Medio
Cuadrante 19;Herviboro;0;0;0;Medio
Cuadrante 19;Alga efimera;1;0,04;4;Medio
Cuadrante 19;Alga corticada;5;0,2;20;Medio
Cuadrante 19;Piedra;1;0,04;4;Medio
Cuadrante 20;Cirripedio;18;0,72;72;Medio
Cuadrante 20;Alga efimera;6;0,24;24;Medio
Cuadrante 20;Piedra;1;0,04;4;Medio
Cuadrante 21;Alga efimera;6;0,24;24;Medio
Cuadrante 21;Mitilidos;12;0,48;48;Medio
